,accuracy,precision,recall,f1
RandomForest,0.875,0.8962264150943396,0.8878504672897196,0.892018779342723
LogisticRegression,0.8369565217391305,0.8811881188118812,0.8317757009345794,0.8557692307692307
SVM,0.8641304347826086,0.8867924528301887,0.8785046728971962,0.8826291079812206
KNN,0.8586956521739131,0.8857142857142857,0.8691588785046729,0.8773584905660378
XGBoost,0.8532608695652174,0.9,0.8411214953271028,0.8695652173913043
GradientBoosting,0.8804347826086957,0.912621359223301,0.8785046728971962,0.8952380952380953
